ID,RUOLO,NOME,SQUADRA,,Aggiornamento all'apertura del file delli lista giocatori dal sito Fantacalcio.it (bisogna avere connessione internet!!)
2610,A,Ronaldo,Juventus,,
2531,A,Lukaku,Inter,,
785,A,Immobile,Lazio,,
507,A,Muriel,Atalanta,,
441,A,Belotti,Torino,,
2764,A,Martinez L.,Inter,,
1874,A,Joao Pedro,Cagliari,,
2530,A,Ibrahimovic,Milan,,
409,A,Insigne,Napoli,,
608,A,Zapata D.,Atalanta,,
531,A,Berardi,Sassuolo,,
4517,A,Lozano,Napoli,,
647,A,Dzeko,Roma,,
2819,A,Caputo,Sassuolo,,
410,A,Mertens,Napoli,,
177,A,Ilicic,Atalanta,,
383,A,Petagna,Napoli,,
313,A,Morata,Juventus,,
4510,A,Rafael Leao,Milan,,
4970,A,Messias,Crotone,,
2284,A,Caicedo,Lazio,,
568,A,Quagliarella,Sampdoria,,
1974,A,Schick,Roma,,
472,A,Destro,Genoa,,
5336,A,Nzola,Spezia,,
2841,A,Vlahovic,Fiorentina,,
2475,A,Sanchez,Inter,,
408,A,Higuain,Juventus,,
1997,A,Simy,Crotone,,
5233,A,Mayoral,Roma,,
309,A,Dybala,Juventus,,
2061,A,Simeone,Cagliari,,
2167,A,Orsolini,Bologna,,
474,A,Gervinho,Parma,,
2832,A,Boga,Sassuolo,,
5311,A,Shomurodov,Genoa,,
186,A,Rebic,Milan,,
4661,A,Osimhen,Napoli,,
1879,A,Farias,Spezia,,
2719,A,Barrow,Bologna,,
345,A,Keita B.,Sampdoria,,
643,A,Defrel,Sassuolo,,
2489,A,Pedro,Roma,,
1998,A,Pjaca,Genoa,,
1939,A,Lapadula,Benevento,,
795,A,El Shaarawy,Roma,,
1958,A,Caprari,Benevento,,
2826,A,Pussetto,Udinese,,
4963,A,Insigne R.,Benevento,,
2409,A,Ribery,Fiorentina,,
4453,A,Torregrossa,Sampdoria,,
4992,A,Gyasi,Spezia,,
2012,A,Milik,Napoli,,
479,A,Sanabria,Torino,,
2137,A,Scamacca,Genoa,,
1882,A,Sau,Benevento,,
312,A,Mandzukic,Milan,,
4324,A,Okaka,Udinese,,
280,A,Palacio,Bologna,,
5292,A,Lammers,Atalanta,,
495,A,Correa,Lazio,,
2154,A,Vignato,Bologna,,
5391,A,Kokorin,Fiorentina,,
505,A,Bonazzoli,Torino,,
315,A,Zaza,Torino,,
5394,A,Gaich,Benevento,,
4359,A,Piccoli,Spezia,,
5393,A,Man,Parma,,
183,A,Babacar,Sassuolo,,
4415,A,Skov Olsen,Bologna,,
4884,A,Carles Perez,Roma,,
1943,A,Nestorovski,Udinese,,
215,A,Verde,Spezia,,
5009,A,Riviere,Crotone,,
245,A,Pandev,Genoa,,
5310,A,Hauge,Milan,,
4435,A,Colley E.,Verona,,
2325,A,Karamoh,Parma,,
5004,A,Forestieri,Udinese,,
475,A,Iago Falque,Benevento,,
247,A,Pavoletti,Cagliari,,
819,A,Favilli,Verona,,
4333,A,Despodov,Cagliari,,
90,A,Lasagna,Verona,,
2327,A,Stepinski,Verona,,
2762,A,Kouame',Fiorentina,,
2196,A,Galabinov,Spezia,,
2776,A,Younes,Napoli,,
652,A,Kalinic,Verona,,
2119,A,Deulofeu,Udinese,,
5012,A,Muriqi,Lazio,,
2155,A,Cutrone,Fiorentina,,
4371,A,Raspadori,Sassuolo,,
2163,A,Cornelius,Parma,,
4962,A,Improta,Benevento,,
407,A,Gabbiadini,Sampdoria,,
311,A,Llorente,Udinese,,
4500,A,Di Carmine,Crotone,,
123,A,Inglese,Parma,,
4463,A,Esposito,Inter,,
2304,A,Salcedo E.,Verona,,
2038,A,Pinamonti,Inter,,
4894,A,Haraslin,Sassuolo,,
2743,A,Santander,Bologna,,
537,A,Sansone,Bologna,,
5378,A,Oddei,Sassuolo,,
5003,A,Kargbo,Crotone,,
5322,A,Mihaila,Parma,,
5352,A,Di Serio,Benevento,,
306,A,Cerri,Cagliari,,
1839,A,Edera,Torino,,
767,A,Tupta,Verona,,
2195,A,Ounas,Cagliari,,
2853,A,Moncini,Benevento,,
2873,A,Teodorczyk,Udinese,,
4368,A,Juwara,Bologna,,
5060,A,Ake' M.,Juventus,,
447,A,La Gumina,Sampdoria,,
5011,A,Dragus,Crotone,,
5013,A,Asoro,Genoa,,
637,A,Siligardi,Crotone,,
4991,A,Gudjohnsen,Spezia,,
5297,A,Luvumbo,Cagliari,,
5361,A,Rabbi,Bologna,,
5303,A,Males,Genoa,,
2773,A,Sprocati,Parma,,
4862,A,Diallo,Atalanta,,
4388,A,Adekanye,Lazio,,
4387,A,Adorante,Parma,,
4489,A,Rauti,Torino,,
4346,A,Millico,Torino,,
4335,A,Schiappacasse,Sassuolo,,
2013,A,Ricci F.,Sassuolo,,
4938,A,Moro,Lazio,,
4940,A,Gagliano,Cagliari,,
4923,A,Colombo,Milan,,
2529,C,Mkhitaryan,Roma,,
1850,C,Kessie',Milan,,
2002,C,Chiesa,Juventus,,
2215,C,Veretout,Roma,,
632,C,Zaccagni,Verona,,
26,C,Gomez,Atalanta,,
1996,C,De Paul,Udinese,,
645,C,Milinkovic-Savic,Lazio,,
2625,C,Soriano,Bologna,,
2085,C,Luis Alberto,Lazio,,
332,C,Candreva,Sampdoria,,
536,C,Politano,Napoli,,
530,C,Pellegrini Lo.,Roma,,
152,C,Zielinski,Napoli,,
2172,C,Barak,Verona,,
4973,C,Mckennie,Juventus,,
2833,C,Kulusevski,Juventus,,
2194,C,Calhanoglu,Milan,,
1995,C,Djuricic,Sassuolo,,
265,C,Brozovic,Inter,,
1987,C,Jankto,Sampdoria,,
302,C,Pereyra,Udinese,,
4377,C,Castrovilli,Fiorentina,,
2472,C,Ramsey,Juventus,,
1870,C,Barella,Inter,,
788,C,Freuler,Atalanta,,
4825,C,Diaz B.,Milan,,
2009,C,Lukic,Torino,,
4978,C,Damsgaard,Sampdoria,,
2201,C,Under,Roma,,
600,C,Verre,Sampdoria,,
2263,C,Lazzari,Lazio,,
801,C,Gagliardini,Inter,,
4892,C,Saelemaekers,Milan,,
2011,C,Miguel Veloso,Verona,,
2857,C,Traore' Hj.,Sassuolo,,
234,C,Kucka,Parma,,
5298,C,Pobega,Spezia,,
2200,C,Douglas Costa,Juventus,,
4423,C,Hernani,Parma,,
2839,C,Sottil,Cagliari,,
4479,C,Elmas,Napoli,,
4725,C,Demme,Napoli,,
1851,C,Molina S.,Crotone,,
827,C,Locatelli,Sassuolo,,
4404,C,Thorsby,Sampdoria,,
4427,C,Malinovskyi,Atalanta,,
22,C,De Roon,Atalanta,,
2741,C,Pessina,Atalanta,,
5001,C,Miranchuk,Atalanta,,
2744,C,Svanberg,Bologna,,
467,C,Nainggolan,Cagliari,,
4514,C,Nandez,Cagliari,,
5007,C,Ilic,Verona,,
2414,C,Vidal,Inter,,
2391,C,Ekdal,Sampdoria,,
236,C,Lazovic,Verona,,
